car_name,cyl,yr,origin,mpg,disp,wt,acc,hp
chevrolet chevelle malibu,8,70,1,18.0,307.0,3504,12.0,130.0
buick skylark 320,8,70,1,15.0,350.0,3693,11.5,165.0
plymouth satellite,8,70,1,18.0,318.0,3436,11.0,150.0
amc rebel sst,8,70,1,16.0,304.0,3433,12.0,150.0
ford torino,8,70,1,17.0,302.0,3449,10.5,140.0
ford galaxie 500,8,70,1,15.0,429.0,4341,10.0,198.0
chevrolet impala,8,70,1,14.0,454.0,4354,9.0,220.0
plymouth fury iii,8,70,1,14.0,440.0,4312,8.5,215.0
pontiac catalina,8,70,1,14.0,455.0,4425,10.0,225.0
amc ambassador dpl,8,70,1,15.0,390.0,3850,8.5,190.0
dodge challenger se,8,70,1,15.0,383.0,3563,10.0,170.0
plymouth 'cuda 340,8,70,1,14.0,340.0,3609,8.0,160.0
chevrolet monte carlo,8,70,1,15.0,400.0,3761,9.5,150.0
buick estate wagon (sw),8,70,1,14.0,455.0,3086,10.0,225.0
toyota corona mark ii,4,70,3,24.0,113.0,2372,15.0,95.0
plymouth duster,6,70,1,22.0,198.0,2833,15.5,95.0
amc hornet,6,70,1,18.0,199.0,2774,15.5,97.0
ford maverick,6,70,1,21.0,200.0,2587,16.0,85.0
datsun pl510,4,70,3,27.0,97.0,2130,14.5,88.0
volkswagen 1131 deluxe sedan,4,70,2,26.0,97.0,1835,20.5,46.0
peugeot 504,4,70,2,25.0,110.0,2672,17.5,87.0
audi 100 ls,4,70,2,24.0,107.0,2430,14.5,90.0
saab 99e,4,70,2,25.0,104.0,2375,17.5,95.0
bmw 2002,4,70,2,26.0,121.0,2234,12.5,113.0
amc gremlin,6,70,1,21.0,199.0,2648,15.0,90.0
ford f250,8,70,1,10.0,360.0,4615,14.0,215.0
chevy c20,8,70,1,10.0,307.0,4376,15.0,200.0
dodge d200,8,70,1,11.0,318.0,4382,13.5,210.0
hi 1200d,8,70,1,9.0,304.0,4732,18.5,193.0
datsun pl510,4,71,3,27.0,97.0,2130,14.5,88.0
chevrolet vega 2300,4,71,1,28.0,140.0,2264,15.5,90.0
toyota corona,4,71,3,25.0,113.0,2228,14.0,95.0
ford pinto,4,71,1,25.0,98.0,2046,19.0,93.5
amc gremlin,6,71,1,19.0,232.0,2634,13.0,100.0
plymouth satellite custom,6,71,1,16.0,225.0,3439,15.5,105.0
chevrolet chevelle malibu,6,71,1,17.0,250.0,3329,15.5,100.0
ford torino 500,6,71,1,19.0,250.0,3302,15.5,88.0
amc matador,6,71,1,18.0,232.0,3288,15.5,100.0
chevrolet impala,8,71,1,14.0,350.0,4209,12.0,165.0
pontiac catalina brougham,8,71,1,14.0,400.0,4464,11.5,175.0
ford galaxie 500,8,71,1,14.0,351.0,4154,13.5,153.0
plymouth fury iii,8,71,1,14.0,318.0,4096,13.0,150.0
dodge monaco (sw),8,71,1,12.0,383.0,4955,11.5,180.0
ford country squire (sw),8,71,1,13.0,400.0,4746,12.0,170.0
pontiac safari (sw),8,71,1,13.0,400.0,5140,12.0,175.0
amc hornet sportabout (sw),6,71,1,18.0,258.0,2962,13.5,110.0
chevrolet vega (sw),4,71,1,22.0,140.0,2408,19.0,72.0
pontiac firebird,6,71,1,19.0,250.0,3282,15.0,100.0
ford mustang,6,71,1,18.0,250.0,3139,14.5,88.0
mercury capri 2000,4,71,1,23.0,122.0,2220,14.0,86.0
opel 1900,4,71,2,28.0,116.0,2123,14.0,90.0
peugeot 304,4,71,2,30.0,79.0,2074,19.5,70.0
fiat 124b,4,71,2,30.0,88.0,2065,14.5,76.0
toyota corolla 1200,4,71,3,31.0,71.0,1773,19.0,65.0
datsun 1200,4,71,3,35.0,72.0,1613,18.0,69.0
volkswagen model 111,4,71,2,27.0,97.0,1834,19.0,60.0
plymouth cricket,4,71,1,26.0,91.0,1955,20.5,70.0
toyota corona hardtop,4,72,3,24.0,113.0,2278,15.5,95.0
dodge colt hardtop,4,72,1,25.0,97.5,2126,17.0,80.0
volkswagen type 3,4,72,2,23.0,97.0,2254,23.5,54.0
chevrolet vega,4,72,1,20.0,140.0,2408,19.5,90.0
ford pinto runabout,4,72,1,21.0,122.0,2226,16.5,86.0
chevrolet impala,8,72,1,13.0,350.0,4274,12.0,165.0
pontiac catalina,8,72,1,14.0,400.0,4385,12.0,175.0
plymouth fury iii,8,72,1,15.0,318.0,4135,13.5,150.0
ford galaxie 500,8,72,1,14.0,351.0,4129,13.0,153.0
amc ambassador sst,8,72,1,17.0,304.0,3672,11.5,150.0
mercury marquis,8,72,1,11.0,429.0,4633,11.0,208.0
buick lesabre custom,8,72,1,13.0,350.0,4502,13.5,155.0
oldsmobile delta 88 royale,8,72,1,12.0,350.0,4456,13.5,160.0
chrysler newport royal,8,72,1,13.0,400.0,4422,12.5,190.0
mazda rx2 coupe,3,72,3,19.0,70.0,2330,13.5,97.0
amc matador (sw),8,72,1,15.0,304.0,3892,12.5,150.0
chevrolet chevelle concours (sw),8,72,1,13.0,307.0,4098,14.0,130.0
ford gran torino (sw),8,72,1,13.0,302.0,4294,16.0,140.0
plymouth satellite custom (sw),8,72,1,14.0,318.0,4077,14.0,150.0
volvo 145e (sw),4,72,2,18.0,121.0,2933,14.5,112.0
volkswagen 411 (sw),4,72,2,22.0,121.0,2511,18.0,76.0
peugeot 504 (sw),4,72,2,21.0,120.0,2979,19.5,87.0
renault 12 (sw),4,72,2,26.0,96.0,2189,18.0,69.0
ford pinto (sw),4,72,1,22.0,122.0,2395,16.0,86.0
datsun 510 (sw),4,72,3,28.0,97.0,2288,17.0,92.0
toyouta corona mark ii (sw),4,72,3,23.0,120.0,2506,14.5,97.0
dodge colt (sw),4,72,1,28.0,98.0,2164,15.0,80.0
toyota corolla 1600 (sw),4,72,3,27.0,97.0,2100,16.5,88.0
buick century 350,8,73,1,13.0,350.0,4100,13.0,175.0
amc matador,8,73,1,14.0,304.0,3672,11.5,150.0
chevrolet malibu,8,73,1,13.0,350.0,3988,13.0,145.0
ford gran torino,8,73,1,14.0,302.0,4042,14.5,137.0
dodge coronet custom,8,73,1,15.0,318.0,3777,12.5,150.0
mercury marquis brougham,8,73,1,12.0,429.0,4952,11.5,198.0
chevrolet caprice classic,8,73,1,13.0,400.0,4464,12.0,150.0
ford ltd,8,73,1,13.0,351.0,4363,13.0,158.0
plymouth fury gran sedan,8,73,1,14.0,318.0,4237,14.5,150.0
chrysler new yorker brougham,8,73,1,13.0,440.0,4735,11.0,215.0
buick electra 225 custom,8,73,1,12.0,455.0,4951,11.0,225.0
amc ambassador brougham,8,73,1,13.0,360.0,3821,11.0,175.0
plymouth valiant,6,73,1,18.0,225.0,3121,16.5,105.0
chevrolet nova custom,6,73,1,16.0,250.0,3278,18.0,100.0
amc hornet,6,73,1,18.0,232.0,2945,16.0,100.0
ford maverick,6,73,1,18.0,250.0,3021,16.5,88.0
plymouth duster,6,73,1,23.0,198.0,2904,16.0,95.0
volkswagen super beetle,4,73,2,26.0,97.0,1950,21.0,46.0
chevrolet impala,8,73,1,11.0,400.0,4997,14.0,150.0
ford country,8,73,1,12.0,400.0,4906,12.5,167.0
plymouth custom suburb,8,73,1,13.0,360.0,4654,13.0,170.0
oldsmobile vista cruiser,8,73,1,12.0,350.0,4499,12.5,180.0
amc gremlin,6,73,1,18.0,232.0,2789,15.0,100.0
toyota carina,4,73,3,20.0,97.0,2279,19.0,88.0
chevrolet vega,4,73,1,21.0,140.0,2401,19.5,72.0
datsun 610,4,73,3,22.0,108.0,2379,16.5,94.0
maxda rx3,3,73,3,18.0,70.0,2124,13.5,90.0
ford pinto,4,73,1,19.0,122.0,2310,18.5,85.0
mercury capri v6,6,73,1,21.0,155.0,2472,14.0,107.0
fiat 124 sport coupe,4,73,2,26.0,98.0,2265,15.5,90.0
chevrolet monte carlo s,8,73,1,15.0,350.0,4082,13.0,145.0
pontiac grand prix,8,73,1,16.0,400.0,4278,9.5,230.0
fiat 128,4,73,2,29.0,68.0,1867,19.5,49.0
opel manta,4,73,2,24.0,116.0,2158,15.5,75.0
audi 100ls,4,73,2,20.0,114.0,2582,14.0,91.0
volvo 144ea,4,73,2,19.0,121.0,2868,15.5,112.0
dodge dart custom,8,73,1,15.0,318.0,3399,11.0,150.0
saab 99le,4,73,2,24.0,121.0,2660,14.0,110.0
toyota mark ii,6,73,3,20.0,156.0,2807,13.5,122.0
oldsmobile omega,8,73,1,11.0,350.0,3664,11.0,180.0
plymouth duster,6,74,1,20.0,198.0,3102,16.5,95.0
ford maverick,6,74,1,21.0,200.0,2875,17.0,93.5
amc hornet,6,74,1,19.0,232.0,2901,16.0,100.0
chevrolet nova,6,74,1,15.0,250.0,3336,17.0,100.0
datsun b210,4,74,3,31.0,79.0,1950,19.0,67.0
ford pinto,4,74,1,26.0,122.0,2451,16.5,80.0
toyota corolla 1200,4,74,3,32.0,71.0,1836,21.0,65.0
chevrolet vega,4,74,1,25.0,140.0,2542,17.0,75.0
chevrolet chevelle malibu classic,6,74,1,16.0,250.0,3781,17.0,100.0
amc matador,6,74,1,16.0,258.0,3632,18.0,110.0
plymouth satellite sebring,6,74,1,18.0,225.0,3613,16.5,105.0
ford gran torino,8,74,1,16.0,302.0,4141,14.0,140.0
buick century luxus (sw),8,74,1,13.0,350.0,4699,14.5,150.0
dodge coronet custom (sw),8,74,1,14.0,318.0,4457,13.5,150.0
ford gran torino (sw),8,74,1,14.0,302.0,4638,16.0,140.0
amc matador (sw),8,74,1,14.0,304.0,4257,15.5,150.0
audi fox,4,74,2,29.0,98.0,2219,16.5,83.0
volkswagen dasher,4,74,2,26.0,79.0,1963,15.5,67.0
opel manta,4,74,2,26.0,97.0,2300,14.5,78.0
toyota corona,4,74,3,31.0,76.0,1649,16.5,52.0
datsun 710,4,74,3,32.0,83.0,2003,19.0,61.0
dodge colt,4,74,1,28.0,90.0,2125,14.5,75.0
fiat 128,4,74,2,24.0,90.0,2108,15.5,75.0
fiat 124 tc,4,74,2,26.0,116.0,2246,14.0,75.0
honda civic,4,74,3,24.0,120.0,2489,15.0,97.0
subaru,4,74,3,26.0,108.0,2391,15.5,93.0
fiat x1.9,4,74,2,31.0,79.0,2000,16.0,67.0
plymouth valiant custom,6,75,1,19.0,225.0,3264,16.0,95.0
chevrolet nova,6,75,1,18.0,250.0,3459,16.0,105.0
mercury monarch,6,75,1,15.0,250.0,3432,21.0,72.0
ford maverick,6,75,1,15.0,250.0,3158,19.5,72.0
pontiac catalina,8,75,1,16.0,400.0,4668,11.5,170.0
chevrolet bel air,8,75,1,15.0,350.0,4440,14.0,145.0
plymouth grand fury,8,75,1,16.0,318.0,4498,14.5,150.0
ford ltd,8,75,1,14.0,351.0,4657,13.5,148.0
buick century,6,75,1,17.0,231.0,3907,21.0,110.0
chevroelt chevelle malibu,6,75,1,16.0,250.0,3897,18.5,105.0
amc matador,6,75,1,15.0,258.0,3730,19.0,110.0
plymouth fury,6,75,1,18.0,225.0,3785,19.0,95.0
buick skyhawk,6,75,1,21.0,231.0,3039,15.0,110.0
chevrolet monza 2+2,8,75,1,20.0,262.0,3221,13.5,110.0
ford mustang ii,8,75,1,13.0,302.0,3169,12.0,129.0
toyota corolla,4,75,3,29.0,97.0,2171,16.0,75.0
ford pinto,4,75,1,23.0,140.0,2639,17.0,83.0
amc gremlin,6,75,1,20.0,232.0,2914,16.0,100.0
pontiac astro,4,75,1,23.0,140.0,2592,18.5,78.0
toyota corona,4,75,3,24.0,134.0,2702,13.5,96.0
volkswagen dasher,4,75,2,25.0,90.0,2223,16.5,71.0
datsun 710,4,75,3,24.0,119.0,2545,17.0,97.0
ford pinto,6,75,1,18.0,171.0,2984,14.5,97.0
volkswagen rabbit,4,75,2,29.0,90.0,1937,14.0,70.0
amc pacer,6,75,1,19.0,232.0,3211,17.0,90.0
audi 100ls,4,75,2,23.0,115.0,2694,15.0,95.0
peugeot 504,4,75,2,23.0,120.0,2957,17.0,88.0
volvo 244dl,4,75,2,22.0,121.0,2945,14.5,98.0
saab 99le,4,75,2,25.0,121.0,2671,13.5,115.0
honda civic cvcc,4,75,3,33.0,91.0,1795,17.5,53.0
fiat 131,4,76,2,28.0,107.0,2464,15.5,86.0
opel 1900,4,76,2,25.0,116.0,2220,16.9,81.0
capri ii,4,76,1,25.0,140.0,2572,14.9,92.0
